Data taking started at   1664294842.0286 seconds (2022-09-27 12:07:22.028607)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
  221      3640.3580   1664298482.3867  -0.1600   0.0040      2.2900      28.4800
  222      3640.8078   1664298482.8364  -0.1552   0.0032      3.1060      26.8752
  223      3648.5843   1664298490.6129  -0.1136   0.0032      2.4000      28.3304
  224      3648.8203   1664298490.8489  -0.0568   0.0032      4.7360      27.9120
  225      3678.9023   1664298520.9309  -0.1600   0.0040      0.6020      28.9664
  226      3688.7066   1664298530.7352  -0.1192   0.0032      5.1420      27.6920
  227      3693.8646   1664298535.8932  -0.1360   0.0032      2.0060      28.5512
  228      3727.1898   1664298569.2184  -0.1528   0.0032      1.7260      27.7088
  229      3731.3222   1664298573.3508  -0.1600   0.0040      0.8260      27.7448
  230      3794.2642   1664298636.2928  -0.1600   0.0040      1.1760      27.9960
  231      3801.6328   1664298643.6614  -0.0424   0.0032      4.6220      28.6336
  232      3815.9154   1664298657.9440  -0.0664   0.0032      0.9980      28.4432
  233      3818.2165   1664298660.2452  -0.1472   0.0032      2.3440      27.6576
  234      3849.7066   1664298691.7353  -0.1128   0.0032      0.9440      27.5280
  235      3870.6626   1664298712.6912  -0.1432   0.0032      2.0880      28.0032
  236      3870.9227   1664298712.9513  -0.0984   0.0032      3.5980      28.1328
  237      3892.6867   1664298734.7153  -0.1600   0.0032      3.5660      27.7528
  238      3911.6159   1664298753.6445  -0.0856   0.0032      0.8300      28.4616
  239      3923.2665   1664298765.2951  -0.1600   0.0040      1.9100      27.8328
  240      3924.5728   1664298766.6014  -0.0704   0.0032      1.1000      27.1808
  241      3935.8034   1664298777.8320  -0.1128   0.0032      1.8920      27.7856
  242      3939.5328   1664298781.5614  -0.1600   0.0040      2.7380      27.5320
  243      3941.0220   1664298783.0506  -0.1600   0.0040      1.2680      27.7840
  244      3979.6096   1664298821.6382  -0.1600   0.0040      3.8980      27.6688
  245      3990.0341   1664298832.0627  -0.0304   0.0032      5.8660      28.9936
  246      4004.2818   1664298846.3104  -0.0608   0.0032      0.7900      28.2528
  247      4027.2677   1664298869.2963  -0.1600   0.0032      2.5840      28.3104
  248      4033.4288   1664298875.4574  -0.1016   0.0032      4.3260      28.1880
  249      4059.4826   1664298901.5112  -0.0872   0.0032      2.2540      28.0344
  250      4062.4019   1664298904.4305  -0.0904   0.0032      2.1600      28.7232
  251      4073.4171   1664298915.4457  -0.1520   0.0040      1.6080      27.8304
  252      4110.3934   1664298952.4220  -0.1480   0.0032      2.6420      27.3536
  253      4112.0823   1664298954.1109  -0.1600   0.0032      3.6580      26.9600
  254      4112.3623   1664298954.3910  -0.1000   0.0032      1.9860      27.7392
  255      4124.8049   1664298966.8335  -0.1600   0.0080      0.6680      38.1200
  256      4133.5893   1664298975.6179  -0.0544   0.0032      4.2500      29.1320
  257      4134.4791   1664298976.5078  -0.1600   0.0032      4.1760      27.0368
  258      4147.1423   1664298989.1709  -0.1200   0.0032      3.4340      27.4872
  259      4180.4623   1664299022.4909  -0.1472   0.0032      2.1420      26.6400
  260      4188.8688   1664299030.8974  -0.1224   0.0032      0.9340      27.8416
  261      4240.4415   1664299082.4701  -0.1600   0.0032      3.6500      28.3344
  262      4241.3218   1664299083.3504  -0.1600   0.0040      1.1160      27.8360
  263      4279.7092   1664299121.7378  -0.1600   0.0032      4.6680      28.2248
  264      4294.5903   1664299136.6189  -0.1448   0.0032      2.1960      27.6648
  265      4295.2717   1664299137.3003  -0.1600   0.0032      5.1700      28.3440
  266      4296.5632   1664299138.5918  -0.1064   0.0032      0.7160      27.7040
  267      4348.1385   1664299190.1671  -0.1208   0.0032      0.8320      28.1208
  268      4351.0601   1664299193.0887  -0.1216   0.0032      7.3360      27.7000
  269      4353.1798   1664299195.2084  -0.1600   0.0032      5.2380      27.6832
  270      4354.2561   1664299196.2847  -0.0680   0.0032      0.8980      28.5368
  271      4354.7166   1664299196.7452  -0.1600   0.0032      6.7680      27.7952
  272      4363.9222   1664299205.9508  -0.0784   0.0032      4.4120      27.8656
  273      4376.1494   1664299218.1780  -0.0704   0.0032      0.5180      27.7664
  274      4383.1264   1664299225.1550  -0.0944   0.0032      7.5180      27.8360
  275      4401.8667   1664299243.8953  -0.0480   0.0032      1.1880      28.3072
  276      4420.9904   1664299263.0190  -0.0888   0.0032      4.9840      28.1904
